Aircraft Type,"Fuel Consumption, SAR (kg/km/seat)",Master Emission Calculator (kg/km/seat),Travel Cost by Airplane (AUD),Empty Weight (kg) (normalized),Maximum Takeoff Weight (kg) (normalized),Maximum Landing Weight (kg) (normalized),Cargo Capacity (kg) (normalized),Cargo Capacity (cu ft)
Airbus A320,0.01834,0.02174,7.7945,717.4272992,2032.118598,1476.018932,109.7926565,24.18340452
Airbus A320,0.01834,0.02174,7.7945,324.5251324,1603.655597,1451.191782,264.5063017,58.26129993
Airbus A320,0.01834,0.02174,7.7945,363.3284596,525.2013352,409.6007562,263.0537644,57.9413578
Airbus A320,0.01834,0.02174,7.7945,460.1779498,782.9030795,706.9027514,528.6233008,116.4368504
Airbus A320,0.01834,0.02174,7.7945,2.868384939,12.09297015,10.13319297,200.0375608,44.06113674
Airbus A320,0.01834,0.02174,7.7945,675.4960673,2917.442203,1694.828163,314.3112011,69.23154209
Airbus A320,0.01834,0.02174,7.7945,173.6163134,378.0514544,245.2761248,47.30190765,10.41892239
Airbus A320,0.01834,0.02174,7.7945,72.12963489,296.9614603,291.9427456,130.3956108,28.72150018
Airbus A320,0.01834,0.02174,7.7945,482.8729737,1124.029841,913.8315241,202.3286564,44.56578335
Airbus A320,0.01834,0.02174,7.7945,139.3635741,645.8097107,179.9405954,117.8693538,25.96241273
Airbus A320,0.01834,0.02174,7.7945,2396.04546,6762.142272,6587.245806,675.3726266,148.7604904
Airbus A320,0.01834,0.02174,7.7945,603.2132205,2311.859655,1787.519153,43.6169256,9.607252335
Airbus A320,0.01834,0.02174,7.7945,121.1149067,169.392812,158.1449546,246.4524041,54.28467051
Airbus A320,0.01834,0.02174,7.7945,866.8769236,3304.03408,2173.054539,498.6227785,109.8288058
Airbus A320,0.01834,0.02174,7.7945,80.51417507,258.0243137,240.0245156,194.6587098,42.8763678
Airbus A320,0.01834,0.02174,7.7945,512.465925,2371.501798,1235.915987,154.27285,33.98080396
Airbus A320,0.01834,0.02174,7.7945,629.8931233,1166.100302,1062.800199,200.1483371,44.08553681
Airbus A320,0.01834,0.02174,7.7945,384.4217544,837.9492498,764.3797979,24.13182878,5.315380789
Airbus A320,0.01834,0.02174,7.7945,150.0683203,465.9613933,407.6246854,430.3711101,94.7953987
Airbus A320,0.01834,0.02174,7.7945,548.3938891,2656.827682,1244.286637,57.05674273,12.56756448
Airbus A320,0.01834,0.02174,7.7945,1035.387774,3216.707749,2914.952094,495.5196244,109.1452917
Airbus A320,0.01834,0.02174,7.7945,1525.858436,2917.444945,2468.869506,88.16489942,19.41958137
Airbus A320,0.01834,0.02174,7.7945,1137.021523,5656.860734,2102.328993,517.1306303,113.9054252
Airbus A320,0.01834,0.02174,7.7945,660.3952935,2019.082025,692.3573189,179.9661213,39.64011482
Airbus A320,0.01834,0.02174,7.7945,442.4815219,1068.257253,1017.393636,230.8732659,50.85314227
Airbus A320,0.01834,0.02174,7.7945,568.3531506,2432.003949,1911.01173,94.77648863,20.87587855
Airbus A320,0.01834,0.02174,7.7945,116.8820499,253.2505211,205.2256728,60.30506439,13.28305383
Airbus A320,0.01834,0.02174,7.7945,328.2184025,1353.662289,1304.168303,383.1390846,84.39186885
Airbus A320,0.01834,0.02174,7.7945,258.0582664,1182.758201,1002.266376,204.7017513,45.08849148
Airbus A320,0.01834,0.02174,7.7945,333.8376775,1086.348447,905.9654031,110.7153781,24.38664716
Airbus A320,0.01834,0.02174,7.7945,1535.857375,6402.838642,4101.090335,122.7078934,27.02817035
Airbus A320,0.01834,0.02174,7.7945,116.4376159,446.250528,366.5881609,168.3193242,37.07474101
Airbus A320,0.01834,0.02174,7.7945,859.2022378,2231.409895,1505.129862,278.5473409,61.35403985
Airbus A320,0.01834,0.02174,7.7945,588.9165648,813.5977633,740.2745181,215.7101267,47.51324377
Airbus A320,0.01834,0.02174,7.7945,123.6335345,588.1670022,389.5134895,9.571878165,2.108343208
Airbus A320,0.01834,0.02174,7.7945,398.4466679,1693.673084,791.6903208,32.98879105,7.266253535
Airbus A320,0.01834,0.02174,7.7945,445.3306772,1404.88231,1097.201671,129.7228382,28.57331238
Airbus A320,0.01834,0.02174,7.7945,1110.15028,1566.063789,1339.205686,258.4166168,56.91995965
Airbus A320,0.01834,0.02174,7.7945,1654.90736,3314.920449,1902.859144,503.172524,110.8309524
Airbus A320,0.01834,0.02174,7.7945,139.76951,476.724729,235.0786572,340.1064391,74.91331258
Airbus A320,0.01834,0.02174,7.7945,55.49400025,128.2377654,69.43829013,165.4162358,36.43529423
Airbus A320,0.01834,0.02174,7.7945,730.9593358,1572.218339,1480.131167,412.9489594,90.95792057
Airbus A320,0.01834,0.02174,7.7945,315.2872075,1267.149648,1004.618303,322.2615484,70.98271991
Airbus A320,0.01834,0.02174,7.7945,558.1089861,1440.408426,1328.102013,60.8625652,13.40585137
Airbus A320,0.01834,0.02174,7.7945,529.638883,1345.520207,894.8398464,283.2264343,62.38467716
Airbus A320,0.01834,0.02174,7.7945,562.1922051,2310.474836,1575.72039,272.4712856,60.01570167
Airbus A320,0.01834,0.02174,7.7945,3887.389278,15461.17114,9533.480597,1335.106687,294.0763628
Airbus A320,0.01834,0.02174,7.7945,806.2805949,3737.255101,2373.471978,374.7968973,82.55438267
Airbus A320,0.01834,0.02174,7.7945,109.0804331,139.8409212,116.3841033,197.6438464,43.53388687
Airbus A320,0.01834,0.02174,7.7945,1176.756079,3228.758074,1876.933099,51.78885319,11.40723639
Airbus A320,0.01834,0.02174,7.7945,1015.009115,1041.316855,1017.932685,331.6884887,73.05913848
Airbus A320,0.01834,0.02174,7.7945,281.0083373,670.5730995,602.4745404,15.38392336,3.388529374
Airbus A320,0.01834,0.02174,7.7945,343.6119197,1679.726636,837.2834981,177.0608495,39.00018711
Airbus A320,0.01834,0.02174,7.7945,1657.689198,7146.561674,5382.61417,1640.661734,361.3792366
Airbus A320,0.01834,0.02174,7.7945,1710.827015,5164.276029,2528.948898,65.8665275,14.5080457
Airbus A320,0.01834,0.02174,7.7945,170.550917,292.3823006,290.5376205,65.39010739,14.40310735
Airbus A320,0.01834,0.02174,7.7945,761.1493153,1685.386879,1655.562847,87.83370308,19.34663063
Airbus A320,0.01834,0.02174,7.7945,67.84284727,137.8527922,125.5755301,50.00268555,11.01380739
Airbus A320,0.01834,0.02174,7.7945,126.2150233,472.2765859,369.1879795,78.95863051,17.39176883
Airbus A320,0.01834,0.02174,7.7945,775.0044882,2895.346548,1378.219273,127.3197791,28.04400421
Airbus A320,0.01834,0.02174,7.7945,368.2018463,395.3964326,381.1424671,310.2573612,68.33862581
Airbus A320,0.01834,0.02174,7.7945,278.2094826,854.7517975,774.1876056,79.53976826,17.51977274
Airbus A320,0.01834,0.02174,7.7945,266.7556797,391.7019887,269.6904254,145.2953978,32.00339159
Airbus A320,0.01834,0.02174,7.7945,236.6604516,754.6378612,740.3129315,245.7846854,54.1375959
Airbus A320,0.01834,0.02174,7.7945,439.465435,1887.051539,1591.831524,137.481218,30.28220661
Airbus A320,0.01834,0.02174,7.7945,108.5774101,248.2228238,224.6645016,10.44423106,2.300491423
Airbus A320,0.01834,0.02174,7.7945,12.92080119,58.23061357,48.68807021,16.5401016,3.643194185
Airbus A320,0.01834,0.02174,7.7945,1812.17175,5494.624529,3179.163054,405.6591573,89.35223729
Airbus A320,0.01834,0.02174,7.7945,1237.23618,4828.398827,4178.804373,64.16768494,14.13385131
Airbus A320,0.01834,0.02174,7.7945,1419.474305,2281.728709,2151.132424,454.6712562,100.1478538
Airbus A320,0.01834,0.02174,7.7945,544.5029857,876.7853264,741.3544691,78.3710126,17.26233758
Airbus A320,0.01834,0.02174,7.7945,466.8171836,760.1124458,576.3535994,12.73916878,2.805984313
Airbus A320,0.01834,0.02174,7.7945,535.4901943,2463.667561,958.0256264,15.18858386,3.345503053
Airbus A320,0.01834,0.02174,7.7945,367.7499123,684.8233963,631.7295443,52.98519002,11.6707467
Airbus A320,0.01834,0.02174,7.7945,2663.319938,3385.128669,3190.858096,1170.204184,257.7542256
Airbus A320,0.01834,0.02174,7.7945,865.6170243,3482.985586,1456.4445,136.9269323,30.16011725
Airbus A320,0.01834,0.02174,7.7945,174.8905106,389.8494726,269.2517244,122.309815,26.94048789
Airbus A320,0.01834,0.02174,7.7945,534.4499959,2193.588871,1052.039075,185.1472823,40.78133971
Airbus A320,0.01834,0.02174,7.7945,224.2606527,801.7608475,612.6751777,96.08908414,21.16499651
Airbus A320,0.01834,0.02174,7.7945,565.1776486,2112.318294,971.4468724,140.0755987,30.8536561
Airbus A320,0.01834,0.02174,7.7945,621.9193695,1935.960474,958.8480452,229.6545111,50.58469407
Airbus A320,0.01834,0.02174,7.7945,132.2003827,150.9661526,136.0081923,57.37179606,12.63695948
Airbus A320,0.01834,0.02174,7.7945,616.4053921,1069.192753,745.8544306,173.5266171,38.22172183
Airbus A320,0.01834,0.02174,7.7945,192.9492065,272.3265093,231.4110576,210.5676405,46.38053756
Airbus A320,0.01834,0.02174,7.7945,250.3655387,650.7179322,649.9523983,135.5308658,29.85261361
Airbus A320,0.01834,0.02174,7.7945,284.3591058,702.9525,554.3927252,60.66417968,13.36215411
Airbus A320,0.01834,0.02174,7.7945,69.93862191,154.0338727,71.81057718,256.0585315,56.4005576
Airbus A320,0.01834,0.02174,7.7945,661.5392462,2529.54468,907.4851688,41.70733312,9.186637251
Airbus A320,0.01834,0.02174,7.7945,1635.384851,3691.240523,2683.93578,158.532996,34.91916211
Airbus A320,0.01834,0.02174,7.7945,548.3294136,1701.5096,631.4927003,179.8394117,39.61220522
Airbus A320,0.01834,0.02174,7.7945,1096.102598,4458.834245,1815.347343,307.1851142,67.66191943
Airbus A320,0.01834,0.02174,7.7945,272.3345634,1160.407849,537.6381135,542.5597992,119.5065637
Airbus A320,0.01834,0.02174,7.7945,650.7560048,2982.469085,2178.207986,72.18957637,15.90078775
Airbus A320,0.01834,0.02174,7.7945,303.9602452,1021.293541,413.6584474,57.91095847,12.75571772
Airbus A320,0.01834,0.02174,7.7945,9.288159097,13.47737414,11.20647458,140.0071233,30.83857341
Airbus A320,0.01834,0.02174,7.7945,1643.868441,6150.448718,4065.005158,337.8247382,74.41073529
Airbus A320,0.01834,0.02174,7.7945,788.1010428,2280.781461,1560.816477,1064.814615,234.5406641
Airbus A320,0.01834,0.02174,7.7945,418.4742942,1253.812858,675.2147929,140.2342319,30.88859733
Airbus A320,0.01834,0.02174,7.7945,2453.960505,10388.58412,5484.628742,483.3053896,106.4549316
Airbus A320,0.01834,0.02174,7.7945,272.6697607,570.5133401,507.7795739,223.2583879,49.17585637
Airbus A320,0.01834,0.02174,7.7945,530.4775151,1793.369993,1383.859449,534.6106975,117.7556602
Airbus A320,0.01834,0.02174,7.7945,105.9176704,113.7962882,111.0780112,231.3522257,50.95864002
Airbus A320,0.01834,0.02174,7.7945,4344.28815,10461.52123,8823.013288,588.6527229,129.6591901
Airbus A320,0.01834,0.02174,7.7945,344.1163878,1103.733686,499.2273269,170.4882493,37.55247782
Airbus A320,0.01834,0.02174,7.7945,171.8876723,187.5349434,176.6944294,170.5149013,37.5583483
Airbus A320,0.01834,0.02174,7.7945,830.3492099,2512.428799,997.0731422,207.2960812,45.65992978
Airbus A320,0.01834,0.02174,7.7945,665.1480303,1852.891986,1414.135355,329.7543772,72.63312273
Airbus A320,0.01834,0.02174,7.7945,389.0319281,1121.790127,651.7395034,53.99779667,11.89378781
Airbus A320,0.01834,0.02174,7.7945,1784.999069,2219.416953,2099.298399,945.2892597,208.2134933
Airbus A320,0.01834,0.02174,7.7945,2428.265563,7630.890649,7050.037989,353.2810586,77.81521115
Airbus A320,0.01834,0.02174,7.7945,272.6210321,1329.13564,1063.367017,78.96300651,17.39273271
Airbus A320,0.01834,0.02174,7.7945,148.3748355,723.8566087,505.4721399,239.8437014,52.82900912
Airbus A320,0.01834,0.02174,7.7945,613.9567038,1428.022285,1278.758262,277.5439024,61.13301815
Airbus A320,0.01834,0.02174,7.7945,476.5545364,2163.388056,2113.099338,211.7042439,46.63089073
Airbus A320,0.01834,0.02174,7.7945,974.5420659,4204.669037,1521.911903,152.3435707,33.55585258
Airbus A320,0.01834,0.02174,7.7945,209.710044,677.7681798,656.173421,4.856990728,1.069821746
Airbus A320,0.01834,0.02174,7.7945,504.6259862,1656.238905,606.1718038,285.6923258,62.92782507
Airbus A320,0.01834,0.02174,7.7945,4272.332014,18556.48834,13273.03097,364.6859708,80.32730634
Airbus A320,0.01834,0.02174,7.7945,407.3367559,912.8430855,912.7989701,194.5633514,42.85536374
Airbus A320,0.01834,0.02174,7.7945,456.3240793,1006.777639,766.8012547,390.8010526,86.079527
Airbus A320,0.01834,0.02174,7.7945,355.0870535,1107.330961,585.1679078,193.5998252,42.6431333
Airbus A320,0.01834,0.02174,7.7945,404.2403344,954.846873,444.4776675,76.33677042,16.81426661
Airbus A320,0.01834,0.02174,7.7945,563.7052722,1972.213156,1838.769786,214.4548572,47.23675269
Airbus A320,0.01834,0.02174,7.7945,140.7296175,491.0449227,180.9972769,179.8358445,39.61141949
Airbus A320,0.01834,0.02174,7.7945,31.01275063,153.6102667,31.91159931,159.8597306,35.21139441
Airbus A320,0.01834,0.02174,7.7945,78.69175533,334.1667134,278.0893634,74.70305864,16.4544182
Airbus A320,0.01834,0.02174,7.7945,921.5265433,1533.274473,1481.417464,520.5457045,114.6576442
Airbus A320,0.01834,0.02174,7.7945,933.1403777,2929.62755,2235.649787,150.0489745,33.05043491
Airbus A320,0.01834,0.02174,7.7945,72.38602662,88.26376944,83.65091234,353.7955819,77.92854227
Airbus A320,0.01834,0.02174,7.7945,617.9277958,1126.675527,853.534992,198.4342717,43.70798936
Airbus A320,0.01834,0.02174,7.7945,218.3204152,239.6293375,228.2674798,89.73237381,19.76484005
Airbus A320,0.01834,0.02174,7.7945,1001.842357,4716.998996,2126.63704,462.33767,101.8364912
Airbus A320,0.01834,0.02174,7.7945,2009.901348,8432.152092,3023.770649,346.4010988,76.2998015
Airbus A320,0.01834,0.02174,7.7945,264.252894,284.4585939,269.6356916,14.38605303,3.168734148
Airbus A320,0.01834,0.02174,7.7945,410.8951862,1079.061782,433.4166946,283.7673695,62.50382588
Airbus A320,0.01834,0.02174,7.7945,82.35799611,360.8174391,231.8158561,408.1297393,89.89641835
Airbus A320,0.01834,0.02174,7.7945,652.1096964,958.2027443,752.5364,276.7664614,60.96177564
Airbus A320,0.01834,0.02174,7.7945,1057.055499,3987.79103,2394.276798,9.628362433,2.120784677
Airbus A320,0.01834,0.02174,7.7945,411.020696,1561.848452,1141.236041,183.0553527,40.32056227
Airbus A320,0.01834,0.02174,7.7945,612.3223534,680.4775523,637.3814302,160.9568181,35.45304363
Airbus A320,0.01834,0.02174,7.7945,359.683827,1071.748044,893.0258944,398.3113423,87.73377584
Airbus A320,0.01834,0.02174,7.7945,1068.612267,4341.868019,1650.079252,383.3060307,84.42864112
Airbus A320,0.01834,0.02174,7.7945,973.64241,1294.06709,1121.550376,55.60675323,12.24818353
Airbus A320,0.01834,0.02174,7.7945,50.46944183,54.3495453,50.95161998,362.4817328,79.84179137
Airbus A320,0.01834,0.02174,7.7945,134.4978021,664.414764,565.9762864,75.55180199,16.64136608
Airbus A320,0.01834,0.02174,7.7945,834.1685079,3538.771055,870.967573,181.8802192,40.06172229
Airbus A320,0.01834,0.02174,7.7945,237.9249952,291.0614882,250.8053159,163.8502741,36.09036874
Airbus A320,0.01834,0.02174,7.7945,90.3253025,423.9707742,179.2010203,306.6752977,67.54962504
Airbus A320,0.01834,0.02174,7.7945,165.2657439,439.6866923,217.6186256,329.746501,72.63138789
Airbus A320,0.01834,0.02174,7.7945,35.41684712,131.8956654,106.7747869,8.633080291,1.901559535
Airbus A320,0.01834,0.02174,7.7945,685.2068332,1099.199885,779.505517,151.8014013,33.436432
Airbus A320,0.01834,0.02174,7.7945,416.1253907,1872.611528,785.8591766,94.11576681,20.73034511
Airbus A320,0.01834,0.02174,7.7945,107.1383408,236.4076879,168.1493108,160.6086531,35.37635531
Airbus A320,0.01834,0.02174,7.7945,64.65932085,122.7701584,76.79580928,3.21393314,0.707914789
Airbus A320,0.01834,0.02174,7.7945,636.5261629,1278.863102,742.4678893,193.0801197,42.52866073
Airbus A320,0.01834,0.02174,7.7945,808.2512282,1889.561964,1070.602463,59.28267534,13.057858
Airbus A320,0.01834,0.02174,7.7945,608.4005203,2956.796305,1246.978599,64.30721072,14.16458386
Airbus A320,0.01834,0.02174,7.7945,875.042856,4109.020651,1725.630233,410.9599689,90.51981694
Airbus A320,0.01834,0.02174,7.7945,915.8899645,2647.178101,1329.344669,208.1585527,45.84990148
Airbus A320,0.01834,0.02174,7.7945,841.7548751,2845.049055,1671.89031,442.9685814,97.57017211
Airbus A320,0.01834,0.02174,7.7945,491.365987,2238.114442,1837.892532,473.2602654,104.2423492
Airbus A320,0.01834,0.02174,7.7945,1269.753958,3096.117479,2911.713901,497.1283598,109.4996387
Airbus A320,0.01834,0.02174,7.7945,12.47129497,23.68846081,21.16121623,14.33028588,3.156450634
Airbus A320,0.01834,0.02174,7.7945,1470.171337,4030.215473,3132.155847,779.4442426,171.6837539
Airbus A320,0.01834,0.02174,7.7945,3051.095413,14720.68355,5765.662195,48.2879423,10.63611064
Airbus A320,0.01834,0.02174,7.7945,216.0481318,834.5728061,316.6030247,359.5506618,79.19618101
Airbus A320,0.01834,0.02174,7.7945,2153.278419,4837.787167,4188.426613,776.0136472,170.9281161
Airbus A320,0.01834,0.02174,7.7945,711.9265876,2083.542386,1780.763836,212.5422027,46.81546315
Airbus A320,0.01834,0.02174,7.7945,1040.860977,2341.762977,1705.39846,216.8521618,47.76479335
Airbus A320,0.01834,0.02174,7.7945,255.5565913,653.44585,337.1248455,256.5551169,56.50993764
Airbus A320,0.01834,0.02174,7.7945,1883.484976,5309.256506,4311.421718,155.1143005,34.16614548
Airbus A320,0.01834,0.02174,7.7945,249.098626,981.1883108,951.8293774,59.638747,13.13628789
Airbus A320,0.01834,0.02174,7.7945,745.1252007,2174.993664,1592.21873,100.1465074,22.05870207
Airbus A320,0.01834,0.02174,7.7945,129.8229461,182.0570794,133.6761415,344.3129516,75.83985718
Airbus A320,0.01834,0.02174,7.7945,152.0218114,324.5432716,304.4331645,223.2635716,49.17699815
Airbus A320,0.01834,0.02174,7.7945,136.8866883,298.9897606,170.9506446,191.0377131,42.07879143
Airbus A320,0.01834,0.02174,7.7945,527.541124,1157.243122,852.5859378,1059.728184,233.4203048
Airbus A320,0.01834,0.02174,7.7945,89.6674323,91.1070773,91.02357311,726.0820199,159.9299603
Airbus A320,0.01834,0.02174,7.7945,862.94535,1509.709037,1444.36416,239.3660941,52.72380927
Airbus A320,0.01834,0.02174,7.7945,1781.711813,4207.142812,2565.427542,554.6617328,122.1721878
Airbus A320,0.01834,0.02174,7.7945,1327.380254,2419.443525,1356.511617,99.58242033,21.93445382
Airbus A320,0.01834,0.02174,7.7945,772.409043,3009.032411,1763.060477,268.0015704,59.03118291
Airbus A320,0.01834,0.02174,7.7945,3757.225772,10204.01306,8979.62502,1746.703679,384.7364932
Airbus A320,0.01834,0.02174,7.7945,4353.250534,13985.1912,7998.417586,316.0666263,69.61819963
Airbus A320,0.01834,0.02174,7.7945,1001.277808,4130.386289,2292.706929,332.674076,73.27622819
Airbus A320,0.01834,0.02174,7.7945,800.2342915,1563.479791,1553.843611,289.1427779,63.68783654
Airbus A320,0.01834,0.02174,7.7945,152.7785112,373.7560366,179.3095551,411.4515391,90.62809231
Airbus A320,0.01834,0.02174,7.7945,86.07129761,92.62827541,88.58829828,261.5791354,57.61654965
Airbus A320,0.01834,0.02174,7.7945,127.1618443,467.0932667,207.2086417,304.0811726,66.97823185
Airbus A320,0.01834,0.02174,7.7945,801.7646179,1840.513579,1144.673307,143.9264031,31.7018509
Airbus A320,0.01834,0.02174,7.7945,355.191098,1493.105068,779.9313121,203.6108203,44.8481983
Airbus A320,0.01834,0.02174,7.7945,247.9576434,532.656372,413.6302082,50.7776385,11.18450187
Airbus A320,0.01834,0.02174,7.7945,944.5261057,1453.87102,981.4549052,319.3673984,70.34524194
Airbus A320,0.01834,0.02174,7.7945,737.7191856,1374.034552,1354.753792,120.6761655,26.58065319
Airbus A320,0.01834,0.02174,7.7945,675.6119717,3082.178642,708.3634201,309.6336329,68.20124073
Airbus A320,0.01834,0.02174,7.7945,67.72581374,251.9321152,238.2726454,48.17729148,10.61173821
Airbus A320,0.01834,0.02174,7.7945,309.1740027,584.611688,398.7333049,78.45340258,17.28048515
Airbus A320,0.01834,0.02174,7.7945,790.5058873,2544.568119,1366.295047,327.6846008,72.17722485
Airbus A320,0.01834,0.02174,7.7945,392.7466112,1505.339314,877.9547026,312.5470354,68.84295934
Airbus A320,0.01834,0.02174,7.7945,666.3502395,3245.648172,829.4142589,179.7257957,39.58717967
Airbus A320,0.01834,0.02174,7.7945,480.095541,2127.005726,1832.551645,135.5727918,29.86184841
Airbus A320,0.01834,0.02174,7.7945,1817.309002,8530.143311,8093.270902,31.00837238,6.830037969
Airbus A320,0.01834,0.02174,7.7945,541.7435343,2187.108297,1059.161687,168.2966843,37.06975425
Airbus A320,0.01834,0.02174,7.7945,76.16071882,199.4405513,136.2952583,114.6900791,25.26213196
Airbus A320,0.01834,0.02174,7.7945,273.4885183,1183.971416,673.0575063,305.3975595,67.26818491
Airbus A320,0.01834,0.02174,7.7945,3120.376021,9485.983501,7932.775899,366.1586172,80.6516778
Airbus A320,0.01834,0.02174,7.7945,114.4216407,412.7184375,337.7313459,402.9816558,88.76247925
Airbus A320,0.01834,0.02174,7.7945,797.5881595,3678.093734,2031.527581,145.9529066,32.14821731
Airbus A320,0.01834,0.02174,7.7945,977.1411564,2515.475734,2302.976663,364.7796954,80.34795053
Airbus A320,0.01834,0.02174,7.7945,2.064930524,2.811444816,2.267817722,29.3254604,6.459352511
Airbus A320,0.01834,0.02174,7.7945,556.1540237,2238.61379,1773.645116,315.4033464,69.47210273
Airbus A320,0.01834,0.02174,7.7945,430.1376896,2025.224709,1191.101119,179.1771511,39.46633284
Airbus A320,0.01834,0.02174,7.7945,249.2524865,728.6539389,563.8923898,78.45452394,17.28073215
Airbus A320,0.01834,0.02174,7.7945,267.3920336,1174.689971,1170.118662,120.6535924,26.57568115
Airbus A320,0.01834,0.02174,7.7945,144.5166029,568.3015132,496.247926,51.76617156,11.40224043
Airbus A320,0.01834,0.02174,7.7945,908.0753222,4181.005062,1652.525153,67.65432761,14.90183428
Airbus A320,0.01834,0.02174,7.7945,67.37876412,259.553631,211.6862429,67.92234291,14.96086848
Airbus A320,0.01834,0.02174,7.7945,234.7945193,609.546809,520.8491762,63.18923543,13.9183338
Airbus A320,0.01834,0.02174,7.7945,792.1880087,2158.511781,1100.920881,793.4582806,174.7705464
Airbus A320,0.01834,0.02174,7.7945,926.9499791,1074.998686,969.9821186,219.9505364,48.44725471
Airbus A320,0.01834,0.02174,7.7945,286.0997235,551.5429076,411.51174,1306.641109,287.8064117
Airbus A320,0.01834,0.02174,7.7945,346.3024104,1047.584946,348.4873902,246.686093,54.33614383
Airbus A320,0.01834,0.02174,7.7945,220.1951153,301.6064951,220.7227716,958.9806909,211.2292271
Airbus A320,0.01834,0.02174,7.7945,186.9157539,471.3339714,200.896764,59.27581081,13.05634599
Airbus A320,0.01834,0.02174,7.7945,248.8389122,733.1525807,315.5611193,141.4786935,31.16270782
Airbus A320,0.01834,0.02174,7.7945,927.9401347,1293.393267,1286.87149,293.0772088,64.55445128
Airbus A320,0.01834,0.02174,7.7945,1287.408049,1803.82748,1528.126188,271.9222901,59.89477756
Airbus A320,0.01834,0.02174,7.7945,306.3428468,656.298403,631.0459565,111.2630821,24.50728681
Airbus A320,0.01834,0.02174,7.7945,3966.044042,7099.182521,5197.692575,1919.633538,422.8267705
Airbus A320,0.01834,0.02174,7.7945,288.4208332,435.5106391,380.0695601,197.9043495,43.59126641
Airbus A320,0.01834,0.02174,7.7945,293.116109,552.2833452,437.2085206,159.5936444,35.15278511
Airbus A320,0.01834,0.02174,7.7945,914.6437398,4025.032635,3029.142552,277.9610139,61.22489293
Airbus A320,0.01834,0.02174,7.7945,1915.403148,2202.43092,1982.106219,488.9864495,107.7062664
Airbus A320,0.01834,0.02174,7.7945,695.9971673,1871.423157,1515.427676,191.4994819,42.18050262
Airbus A320,0.01834,0.02174,7.7945,1927.979737,6633.908132,1968.889533,900.7047386,198.3931142
Airbus A320,0.01834,0.02174,7.7945,102.1693356,446.6985149,275.4375409,202.6116806,44.62812348
Airbus A320,0.01834,0.02174,7.7945,250.215529,315.7709954,251.1987756,221.2871274,48.74165802
Airbus A320,0.01834,0.02174,7.7945,896.2331928,2274.011801,2229.935111,447.4507444,98.55743269
Airbus A320,0.01834,0.02174,7.7945,102.5087632,256.0859605,154.5751077,276.9776307,61.0082887
Airbus A320,0.01834,0.02174,7.7945,731.9595673,2219.302171,1521.398577,253.7741183,55.89738289
Airbus A320,0.01834,0.02174,7.7945,34.00186518,37.87146589,35.08643034,136.0401071,29.9647813
Airbus A320,0.01834,0.02174,7.7945,816.9358014,974.5247374,900.026145,152.0091751,33.48219716
